,District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),no in Cohort_male,% Graduated_male,# in Cohort_female,% Graduated_female,# in Cohort_disadvantaged,% Graduated_disadvantaged,# in Cohort_white,% Graduated_white,# in Cohort_asian,% Graduated_asian,# in Cohort_hispanic,% Graduated_hispanic,# in Cohort_black,% Graduated_black,High School Graduates (#)_male,Attending Coll./Univ. (%)_male,High School Graduates (#)_female,Attending Coll./Univ. (%)_female,High School Graduates (#)_disadvantaged,Attending Coll./Univ. (%)_disadvantaged,High School Graduates (#)_white,Attending Coll./Univ. (%)_white,High School Graduates (#)_asian,Attending Coll./Univ. (%)_asian,High School Graduates (#)_hispanic,Attending Coll./Univ. (%)_hispanic,High School Graduates (#)_black,Attending Coll./Univ. (%)_black,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Salary Totals,Average Salary,FTE Count
25,Berkshire Hills,6180000,       144,90.3,5.6,0.0,1.4,2.1,0.7,129,99.0,76.7,0.0,39.4,35.4,25.3,27.3,8.1,5.1,        63,90.5,        81,90.1,        54,83.3,       124,89.5,,,         6,83.3,,,57.0,66.7,72,84.7,36,69.4,111.0,77.5,4.0,,5.0,,2.0,,     895,14.6,"      1,307",49.3,50.7,2.7,18.7,25.3,"      $8,255,692","  $72,737",    114
26,Berlin-Boylston,6200000,        72,91.7,5.6,0.0,0.0,2.8,0.0,67,58.0,86.6,0.0,39.7,13.8,46.6,10.3,22.4,13.8,        31,90.3,        41,92.7,        10,60.0,        67,91.0,,,,,,,29.0,75.9,38,94.7,5,,62.0,85.5,,,,,2.0,,     307,16.2,        564,50.0,50.0,1.2,15.2,6.7,"      $3,105,122","  $69,778",     45
27,Beverly,300000,       362,89.5,5.8,0.3,0.8,3.6,0.0,334,260.0,77.8,0.0,39.2,25.0,35.8,24.2,10.0,13.8,       166,84.3,       196,93.9,       118,75.4,       321,89.7,        11,90.9,        18,83.3,         7,85.7,148.0,74.3,186,80.6,72,56.9,294.0,79.6,11.0,,17.0,70.6,6.0,,"   1,310",18.8,"      4,542",47.9,52.1,3.5,19.0,23.7,"     $22,831,118","  $73,530",    311
28,Billerica,310000,       320,91.9,2.5,0.0,2.2,3.4,0.0,305,256.0,83.9,0.0,34.8,21.5,43.8,20.7,9.4,19.1,       152,84.9,       168,98.2,        72,75.0,       289,92.4,        14,92.9,        10,80.0,,,133.0,79.7,172,87.2,40,67.5,277.0,83.4,13.0,,8.0,,5.0,,"   2,385",18.7,"      5,062",49.0,51.0,1.4,16.4,14.4,"     $30,173,624","  $80,142",    377
29,Blackstone Valley Regional Vocational Technical,8050000,       289,99.3,0.0,0.0,0.0,0.7,0.0,289,211.0,73.0,0.0,39.8,18.5,41.7,15.6,19.4,12.8,       137,99.3,       152,99.3,        73,98.6,       272,99.3,,,         7,100.0,,,136.0,65.4,153,79.7,52,63.5,272.0,72.8,3.0,,7.0,,2.0,,     709,17.4,"      1,192",52.2,47.8,0.6,8.2,9.8,"      $7,563,689","  $80,294",     94
30,Blackstone-Millville,6220000,       121,94.2,4.1,0.0,0.8,0.8,0.0,116,79.0,68.1,0.0,35.4,30.4,34.2,13.9,12.7,2.5,        66,90.9,        55,98.2,        45,93.3,       115,93.9,,,,,,,62.0,62.9,54,74.1,23,47.8,109.0,68.8,2.0,,2.0,,2.0,,     862,18.4,"      1,777",50.1,49.9,3.7,16.8,18.6,"      $8,385,779","  $60,547",    139
31,Blue Hills Regional Vocational Technical,8060000,       193,97.4,2.6,0.0,0.0,0.0,0.0,189,108.0,57.1,0.0,23.1,41.7,35.2,40.7,12.0,16.7,       105,97.1,        88,97.7,        88,94.3,       129,97.7,,,        12,100.0,        42,95.2,102.0,48.0,87,67.8,56,58.9,126.0,49.2,3.0,,12.0,,41.0,73.2,     411,15.8,        873,45.4,54.6,0.7,24.3,22.0,"      $6,405,107","  $76,708",     84
32,Boston,350000,"     4,190",72.4,15.4,0.7,1.1,10.3,0.0,3372,2389.0,70.8,0.8,36.2,29.6,33.5,28.9,8.4,21.5,"     2,137",68.1,"     2,053",76.9,"     3,366",70.8,       560,82.5,       432,88.2,"     1,482",67.1,"     1,633",69.3,1654.0,63.9,1718,77.5,1950,69.2,488.0,80.7,403.0,89.3,1117.0,62.8,1293.0,68.4,"  23,180",18.2,"     56,090",48.1,51.9,28.5,18.9,54.3,"    $391,799,784","  $90,626","  4,230"
33,Boston Collegiate Charter (District),4490000,        59,91.5,8.5,0.0,0.0,0.0,0.0,62,59.0,95.2,0.0,22.0,3.4,74.6,3.4,28.8,42.4,        25,88.0,        34,94.1,        26,92.3,        35,94.3,,,         9,88.9,        14,92.9,26.0,92.3,36,97.2,12,,37.0,94.6,,,8.0,,17.0,94.1,     270,20.6,        688,52.6,47.4,3.3,19.3,23.3,,,
34,Boston Day and Evening Academy Charter (District),4240000,       153,9.8,63.4,0.7,4.6,21.6,0.0,51,22.0,43.1,0.0,13.6,63.6,22.7,59.1,0.0,18.2,        50,4.0,       103,12.6,       118,11.0,        15,13.3,,,        56,16.1,        70,5.7,19.0,31.6,32,50.0,35,48.6,7.0,,1.0,,25.0,52.0,17.0,47.1,     280,15.8,        447,55.0,45.0,8.5,24.4,49.9,,,
35,Boston Green Academy Horace Mann Charter School (District),4110000,        64,76.6,12.5,0.0,3.1,7.8,0.0,54,33.0,61.1,3.0,36.4,45.5,15.2,45.5,12.1,3.0,        42,76.2,        22,77.3,        57,75.4,         7,85.7,,,        17,64.7,        37,81.1,34.0,50.0,20,80.0,29,62.1,7.0,,2.0,,12.0,,33.0,66.7,     209,14.4,        414,47.3,52.7,12.3,30.7,56.0,,,
36,Boston Preparatory Charter Public (District),4160000,        52,75.0,13.5,0.0,0.0,11.5,0.0,41,38.0,92.7,0.0,28.9,21.1,50.0,21.1,34.2,15.8,        14,42.9,        38,86.8,        45,71.1,,,,,        16,62.5,        30,76.7,8.0,,33,93.9,19,84.2,1.0,,,,10.0,,25.0,92.0,      75,34.0,        421,51.5,48.5,10.0,20.0,41.6,,,
37,Bourne,360000,       151,91.4,5.3,0.7,0.0,2.6,0.0,139,108.0,77.7,0.0,37.0,24.1,38.9,24.1,13.0,14.8,        82,90.2,        69,92.8,        67,83.6,       129,91.5,,,         8,100.0,,,76.0,77.6,63,77.8,39,59.0,119.0,78.2,4.0,,8.0,,1.0,,"   1,042",18.1,"      2,045",48.5,51.5,0.5,16.3,23.4,"     $11,660,453","  $79,269",    147
38,Braintree,400000,       405,93.8,2.7,0.2,1.2,2.0,0.0,390,330.0,84.6,0.0,31.2,20.0,48.8,18.8,9.7,29.1,       206,93.7,       199,94.0,       118,84.7,       319,93.7,        53,96.2,        13,84.6,        17,94.1,200.0,80.0,190,89.5,76,69.7,307.0,82.4,53.0,96.2,11.0,,16.0,81.3,"   3,017",17.7,"      5,805",49.3,50.7,4.2,19.4,16.8,"     $31,691,855","  $73,891",    429
39,Bridgewater-Raynham,6250000,       370,91.1,4.9,1.1,0.0,3.0,0.0,354,299.0,84.5,0.0,33.4,21.7,44.8,21.4,19.1,13.4,       196,88.3,       174,94.3,        97,84.5,       331,91.8,         8,62.5,,,        15,86.7,185.0,79.5,169,89.9,63,66.7,317.0,84.5,5.0,,4.0,,15.0,80.0,"   1,917",20.3,"      5,304",48.3,51.7,0.9,13.7,13.9,"     $26,779,838","  $79,868",    335
40,Bristol County Agricultural,9100000,       107,100.0,0.0,0.0,0.0,0.0,0.0,108,86.0,79.6,0.0,25.6,27.9,46.5,26.7,10.5,19.8,        35,100.0,        72,100.0,        29,100.0,       104,100.0,,,,,,,35.0,68.6,73,84.9,17,76.5,105.0,79.0,1.0,,,,2.0,,     313,17.7,        458,71.2,28.8,0.0,11.6,15.7,"      $2,290,115","  $66,962",     34
41,Bristol-Plymouth Regional Vocational Technical,8100000,       314,97.1,0.6,0.0,0.3,1.9,0.0,305,165.0,54.1,0.6,20.6,47.9,30.9,47.3,21.2,7.9,       181,96.7,       133,97.7,       135,95.6,       276,97.1,,,        16,93.8,        13,100.0,175.0,41.7,130,70.8,88,48.9,268.0,55.2,1.0,,15.0,26.7,13.0,,     975,17.4,"      1,293",41.8,58.2,0.2,19.2,22.7,"      $8,940,007","  $85,550",    105
42,Brockton,440000,"     1,323",79.1,7.9,5.5,0.0,7.6,0.0,1122,795.0,70.9,0.4,17.9,50.3,31.4,49.6,13.3,15.7,       697,75.8,       626,82.7,"     1,088",78.5,       283,88.3,        28,92.9,       161,64.0,       819,78.1,582.0,66.8,540,75.2,639,68.1,267.0,72.7,23.0,87.0,114.0,63.2,690.0,70.7,"   7,771",19.9,"     17,538",47.9,52.1,21.0,12.6,51.9,"     $91,526,588","  $84,286","  1,086"
43,Brookline,460000,       447,92.8,4.3,0.0,0.9,2.0,0.0,430,363.0,84.4,0.6,61.2,5.2,33.1,4.7,3.3,19.6,       231,92.2,       216,93.5,       112,85.7,       268,92.5,        64,93.8,        49,93.9,        36,91.7,224.0,83.0,206,85.9,80,85.0,255.0,85.9,61.0,83.6,49.0,77.6,36.0,83.3,"   4,093",17.9,"      7,698",49.5,50.5,10.6,15.6,9.4,"     $56,142,695","  $93,727",    599
44,Burlington,480000,       256,95.3,3.5,0.0,0.8,0.4,0.0,249,214.0,85.9,0.0,43.0,17.8,39.3,17.8,7.9,20.1,       134,94.8,       122,95.9,        45,88.9,       200,95.5,        30,93.3,,,        14,100.0,130.0,80.8,119,91.6,30,80.0,195.0,85.6,28.0,89.3,4.0,,14.0,,"   1,992",17.6,"      3,570",48.3,51.7,3.8,11.7,10.4,"     $29,737,101","  $94,982",    313
45,Cambridge,490000,       490,88.8,8.4,0.4,0.0,2.4,0.0,448,354.0,79.0,0.3,53.4,16.4,29.9,16.1,4.2,18.9,       243,85.6,       247,91.9,       277,87.0,       186,90.3,        41,100.0,        70,82.9,       171,87.1,220.0,77.7,228,80.3,177,74.6,172.0,80.2,42.0,95.2,58.0,70.7,157.0,77.7,"   3,841",15.1,"      6,742",49.5,50.5,8.9,19.7,29.4,"     $54,449,757","  $82,409",    661
46,Canton,500000,       236,94.9,3.4,0.0,0.0,1.7,0.0,229,204.0,89.1,0.0,48.5,16.2,35.3,15.2,6.9,14.7,       121,95.0,       115,94.8,        53,88.7,       176,94.9,        13,100.0,         9,100.0,        29,93.1,120.0,84.2,109,94.5,34,85.3,170.0,88.8,13.0,,9.0,,29.0,82.8,"   2,284",18.9,"      3,341",50.0,50.0,1.9,11.2,12.3,"     $19,709,158","  $80,870",    244
47,Cape Cod Regional Vocational Technical,8150000,       154,92.9,3.9,0.0,0.6,2.6,0.0,149,68.0,45.6,0.0,23.5,54.4,22.1,50.0,5.9,11.8,        83,94.0,        71,91.5,        85,90.6,       126,92.1,,,        14,92.9,         9,100.0,83.0,33.7,66,60.6,71,50.7,122.0,40.2,,,13.0,,9.0,,     412,13.3,        643,39.2,60.8,1.9,24.0,32.5,"      $4,952,829","  $72,516",     68
48,Carver,520000,       107,88.8,7.5,0.0,0.0,3.7,0.0,96,73.0,76.0,0.0,26.0,31.5,42.5,31.5,19.2,17.8,        52,88.5,        55,89.1,        29,79.3,       103,88.3,,,,,,,47.0,63.8,49,87.8,15,66.7,92.0,75.0,,,,,3.0,,     885,16.7,"      1,641",48.8,51.2,0.2,21.8,19.1,"      $8,756,627","  $67,255",    130
49,Central Berkshire,6350000,       131,91.6,1.5,0.0,1.5,5.3,0.0,122,108.0,88.5,0.9,31.5,27.8,39.8,25.9,17.6,10.2,        59,89.8,        72,93.1,        51,82.4,       123,91.1,,,,,,,54.0,79.6,68,95.6,30,80.0,114.0,88.6,,,1.0,,1.0,,     907,15.9,"      1,638",48.7,51.3,0.5,13.6,24.8,"      $9,102,413","  $69,167",    132
50,Chelmsford,560000,       433,94.5,2.3,0.9,0.0,2.3,0.0,415,364.0,87.7,0.0,33.8,16.8,49.5,15.9,10.7,23.1,       214,93.0,       219,95.9,        71,85.9,       372,95.2,        43,90.7,         8,100.0,,,203.0,82.8,212,92.5,50,76.0,359.0,87.2,39.0,94.9,9.0,,4.0,,"   2,402",18.0,"      5,108",48.5,51.5,2.9,16.0,10.4,"     $27,060,165","  $73,874",    366
51,Chelsea,570000,       390,59.7,12.6,3.3,2.6,21.8,0.0,261,162.0,62.1,0.0,21.6,56.2,22.2,56.2,9.3,11.7,       209,52.2,       181,68.5,       347,59.4,        28,67.9,         8,62.5,       329,57.1,        23,82.6,126.0,54.0,135,69.6,143,66.4,21.0,57.1,5.0,,210.0,62.4,23.0,60.9,"   1,421",23.3,"      6,558",47.1,52.9,28.9,12.2,54.8,"     $28,155,659","  $66,342",    424
