,District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),no in Cohort_male,% Graduated_male,# in Cohort_female,% Graduated_female,# in Cohort_disadvantaged,% Graduated_disadvantaged,# in Cohort_white,% Graduated_white,# in Cohort_asian,% Graduated_asian,# in Cohort_hispanic,% Graduated_hispanic,# in Cohort_black,% Graduated_black,High School Graduates (#)_male,Attending Coll./Univ. (%)_male,High School Graduates (#)_female,Attending Coll./Univ. (%)_female,High School Graduates (#)_disadvantaged,Attending Coll./Univ. (%)_disadvantaged,High School Graduates (#)_white,Attending Coll./Univ. (%)_white,High School Graduates (#)_asian,Attending Coll./Univ. (%)_asian,High School Graduates (#)_hispanic,Attending Coll./Univ. (%)_hispanic,High School Graduates (#)_black,Attending Coll./Univ. (%)_black,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Salary Totals,Average Salary,FTE Count
114,Holliston,1360000,       219,93.2,4.1,0.9,0.5,1.4,0.0,208,183.0,88.0,0.0,48.1,9.8,42.1,9.3,10.4,10.9,       103,87.4,       116,98.3,        24,70.8,       197,94.9,         8,100.0,         6,50.0,,,91.0,90.1,117,86.3,16,75.0,191.0,89.0,8.0,,3.0,,3.0,,"   1,470",17.7,"      2,912",49.3,50.7,2.5,15.6,6.3,"     $16,538,195","  $78,566",    211
115,Holyoke,1370000,       462,62.1,11.0,5.2,3.2,18.4,0.0,322,199.0,61.8,0.0,13.6,69.8,16.6,67.8,7.0,6.0,       244,61.1,       218,63.3,       396,57.6,        99,77.8,,,       345,56.8,        12,75.0,172.0,51.2,150,74.0,210,57.6,85.0,65.9,2.0,,221.0,59.7,11.0,,"   2,492",17.9,"      5,501",46.6,53.4,24.9,24.3,72.7,"     $27,007,864","  $62,446",    433
116,Hopedale,1380000,        84,92.9,4.8,1.2,0.0,1.2,0.0,78,67.0,85.9,0.0,35.8,9.0,55.2,9.0,22.4,13.4,        47,89.4,        37,97.3,        20,90.0,        79,92.4,,,,,,,42.0,81.0,36,91.7,12,,73.0,86.3,1.0,,4.0,,,,     605,17.5,"      1,190",47.1,52.9,1.3,17.7,9.5,"      $5,767,956","  $64,303",     90
117,Hopkinton,1390000,       308,98.4,1.0,0.3,0.0,0.3,0.0,303,276.0,91.1,0.0,47.8,4.3,47.8,4.3,6.5,14.9,       156,98.7,       152,98.0,        26,88.5,       272,98.5,        18,100.0,         6,100.0,        10,90.0,154.0,90.3,149,91.9,18,88.9,268.0,93.3,18.0,72.2,6.0,,9.0,,"   1,855",19.9,"      3,496",50.3,49.7,2.1,12.6,3.7,"     $21,627,352","  $84,350",    256
118,Hudson,1410000,       199,88.9,5.5,0.0,1.0,4.0,0.5,182,148.0,81.3,0.0,35.1,18.9,45.9,17.6,18.9,18.2,       104,84.6,        95,93.7,        58,79.3,       179,90.5,,,        11,72.7,,,92.0,77.2,90,85.6,32,68.8,165.0,83.0,2.0,,10.0,,3.0,,"   1,519",17.2,"      2,841",49.8,50.2,7.3,16.5,21.2,"     $17,886,956","  $74,710",    239
119,Hull,1420000,        90,80.0,13.3,1.1,0.0,5.6,0.0,76,50.0,65.8,0.0,38.0,4.0,58.0,2.0,16.0,18.0,        46,73.9,        44,86.4,        46,71.7,        80,81.3,,,,,,,37.0,59.5,39,71.8,26,50.0,69.0,66.7,2.0,,,,2.0,,     579,14.3,        975,45.5,54.5,0.4,20.4,25.9,"      $7,122,167","  $83,594",     85
120,Innovation Academy Charter (District),4350000,        80,88.8,8.8,0.0,1.3,1.3,0.0,72,68.0,94.4,0.0,32.4,23.5,44.1,22.1,10.3,23.5,        43,88.4,        37,89.2,        12,66.7,        68,89.7,,,,,,,39.0,94.9,33,93.9,4,,61.0,96.7,2.0,,4.0,,4.0,,     512,18.1,        788,51.1,48.9,2.8,18.8,7.6,,,
121,Ipswich,1440000,       134,94.0,2.2,0.7,0.7,2.2,0.0,127,108.0,85.0,0.0,38.0,17.6,44.4,17.6,9.3,13.9,        59,91.5,        75,96.0,        30,86.7,       123,95.1,,,,,,,55.0,76.4,72,91.7,21,66.7,118.0,83.9,4.0,,,,,,     973,17.3,"      1,856",50.6,49.4,2.0,14.9,11.4,"     $10,884,303","  $68,584",    159
122,King Philip,6900000,       374,94.9,2.7,0.8,0.3,1.3,0.0,359,326.0,90.8,0.0,45.4,7.7,46.9,7.1,12.3,16.0,       178,93.8,       196,95.9,        35,88.6,       357,95.2,         6,83.3,,,,,170.0,88.8,189,92.6,21,85.7,344.0,90.7,5.0,,2.0,,2.0,,     893,19.6,"      2,147",48.0,52.0,0.3,11.9,7.7,"      $9,334,179","  $72,079",    130
123,KIPP Academy Lynn Charter (District),4290000,        77,88.3,7.8,0.0,1.3,2.6,0.0,68,60.0,88.2,0.0,46.7,21.7,31.7,21.7,21.7,8.3,        32,81.3,        45,93.3,        69,88.4,         6,100.0,,,        41,85.4,        25,92.0,26.0,80.8,42,92.9,33,84.8,6.0,,3.0,,35.0,88.6,23.0,95.7,     291,22.1,"      1,018",51.6,48.4,24.9,12.6,45.5,,,
124,Lawrence,1490000,       919,71.4,11.9,5.3,0.8,10.7,0.0,684,444.0,64.9,0.0,11.3,72.3,16.4,70.5,5.4,8.6,       480,66.7,       439,76.5,       859,71.4,        47,70.2,        16,93.8,       838,71.2,        13,61.5,337.0,57.6,347,72.0,519,65.1,33.0,63.6,15.0,86.7,624.0,64.6,9.0,,"   5,011",19.1,"     14,118",47.9,52.1,28.1,19.4,65.7,"     $72,982,375","  $68,851","  1,060"
125,Lee,1500000,        65,87.7,6.2,0.0,3.1,3.1,0.0,59,43.0,72.9,0.0,25.6,37.2,37.2,34.9,16.3,2.3,        33,87.9,        32,87.5,        30,83.3,        54,85.2,,,         8,100.0,,,30.0,73.3,29,72.4,25,48.0,48.0,77.1,2.0,,8.0,,,,     345,13.4,        693,50.5,49.5,3.2,11.5,33.3,"      $4,620,981","  $64,629",     72
126,Leicester,1510000,       116,85.3,9.5,0.9,1.7,2.6,0.0,102,83.0,81.4,0.0,27.7,22.9,49.4,20.5,21.7,25.3,        57,84.2,        59,86.4,        51,80.4,       103,87.4,,,,,,,50.0,76.0,52,86.5,28,71.4,93.0,80.6,3.0,,2.0,,2.0,,     708,18.6,"      1,607",47.5,52.5,1.9,14.2,21.3,"      $7,831,205","  $74,797",    105
127,Lenox,1520000,        43,95.3,4.7,0.0,0.0,0.0,0.0,42,35.0,83.3,0.0,62.9,11.4,25.7,11.4,2.9,14.3,        23,95.7,        20,95.0,        10,80.0,        40,100.0,,,,,,,23.0,78.3,19,89.5,6,,41.0,82.9,,,1.0,,,,     509,13.1,        746,51.5,48.5,3.8,9.1,18.0,"      $5,756,691","  $72,502",     79
128,Leominster,1530000,       412,88.1,5.3,1.9,1.0,3.6,0.0,368,245.0,66.6,0.0,18.0,31.8,50.2,30.2,29.0,15.9,       234,85.9,       178,91.0,       219,83.1,       255,91.4,        12,91.7,       100,81.0,        30,90.0,204.0,57.8,164,77.4,124,48.4,235.0,69.8,11.0,,84.0,56.0,27.0,77.8,"   3,307",16.3,"      6,099",47.7,52.3,7.9,21.6,35.9,"     $31,121,902","  $68,778",    453
129,Lexington,1550000,       545,96.1,2.9,0.0,0.4,0.6,0.0,528,466.0,88.3,0.0,59.7,6.2,34.1,6.2,1.7,14.8,       272,97.8,       273,94.5,        75,88.0,       312,95.5,       165,96.4,        18,100.0,        26,96.2,269.0,87.7,259,88.8,39,89.7,302.0,85.8,159.0,91.8,18.0,88.9,25.0,88.0,"   2,779",19.6,"      7,044",48.9,51.1,6.9,12.8,5.1,"     $45,296,096","  $78,776",    575
130,Lincoln-Sudbury,6950000,       395,95.7,4.1,0.3,0.0,0.0,0.0,386,333.0,86.3,0.6,65.5,3.3,30.6,3.0,3.0,9.3,       196,97.4,       199,94.0,        36,80.6,       332,95.2,        20,100.0,        10,90.0,        22,100.0,195.0,88.2,191,84.3,23,91.3,322.0,87.6,22.0,72.7,9.0,,22.0,95.5,"   1,213",19.7,"      1,611",52.1,47.9,0.4,15.5,5.3,"     $11,588,846","  $92,859",    125
131,Littleton,1580000,       112,94.6,5.4,0.0,0.0,0.0,0.0,110,95.0,86.4,0.0,41.1,6.3,52.6,6.3,11.6,20.0,        53,88.7,        59,100.0,        11,90.9,       100,95.0,         6,83.3,,,,,50.0,84.0,60,88.3,5,,99.0,85.9,5.0,,2.0,,1.0,,     663,19.0,"      1,646",51.1,48.9,2.0,18.6,7.5,"      $8,292,410","  $72,997",    114
132,Longmeadow,1590000,       260,96.9,2.7,0.0,0.4,0.0,0.0,257,237.0,92.2,0.0,50.2,16.9,32.9,14.8,7.2,12.2,       138,95.7,       122,98.4,        35,94.3,       231,97.8,        10,100.0,         6,66.7,         7,85.7,135.0,91.9,122,92.6,31,87.1,231.0,91.8,10.0,,4.0,,6.0,,"   1,199",19.3,"      2,905",48.3,51.7,1.2,17.2,6.7,"     $17,069,885","  $71,752",    238
133,Lowell,1600000,       755,78.8,9.9,3.6,2.0,5.7,0.0,623,479.0,76.9,0.0,14.6,45.5,39.9,43.8,7.9,29.9,       391,74.7,       364,83.2,       568,75.0,       226,86.7,       245,81.2,       192,68.8,        82,75.6,315.0,71.7,308,82.1,312,71.8,203.0,76.8,211.0,82.5,139.0,65.5,64.0,82.8,"   8,154",18.9,"     14,540",48.1,51.9,25.2,15.7,53.0,"     $80,861,650","  $79,547","  1,017"
134,Lowell Middlesex Academy Charter (District),4580000,        42,19.0,33.3,0.0,19.0,28.6,0.0,19,9.0,47.4,0.0,11.1,88.9,0.0,88.9,0.0,0.0,        24,4.2,        18,38.9,        31,16.1,        17,23.5,,,        13,0.0,,,5.0,,14,,14,,9.0,,1.0,,4.0,,2.0,,     134,12.9,        124,58.9,41.1,5.6,29.0,60.5,,,
135,Ludlow,1610000,       198,93.4,3.5,0.0,0.5,2.5,0.0,192,155.0,80.7,0.0,28.4,43.9,27.7,41.9,12.9,11.0,        92,90.2,       106,96.2,        68,89.7,       182,93.4,,,        12,100.0,,,84.0,72.6,108,87.0,55,69.1,176.0,81.3,,,13.0,,3.0,,"   1,365",16.3,"      2,701",50.3,49.7,2.1,15.5,23.4,"     $14,396,361","  $62,457",    231
136,Lunenburg,1620000,        99,92.9,5.1,0.0,1.0,1.0,0.0,93,82.0,88.2,0.0,25.6,25.6,48.8,22.0,15.9,17.1,        52,88.5,        47,97.9,        24,79.2,        88,93.2,,,,,,,47.0,85.1,46,91.3,14,,83.0,88.0,3.0,,4.0,,2.0,,     727,19.1,"      1,577",47.4,52.6,1.8,17.8,14.3,"      $7,972,611","  $76,147",    105
137,Lynn,1630000,"     1,143",75.3,9.5,1.3,1.6,12.2,0.0,910,547.0,60.1,0.5,19.0,44.8,35.6,43.3,21.4,10.8,       623,70.9,       520,80.6,       973,73.5,       265,82.3,        96,90.6,       599,68.3,       154,81.2,477.0,51.8,433,69.3,516,57.6,232.0,65.5,86.0,73.3,439.0,51.5,130.0,71.5,"   5,015",20.0,"     15,257",47.1,52.9,20.5,15.3,50.9,"     $78,105,105","  $73,256","  1,066"
138,Lynnfield,1640000,       165,98.8,0.6,0.0,0.6,0.0,0.0,162,145.0,89.5,0.0,42.8,19.3,37.9,17.9,6.2,13.1,        87,97.7,        78,100.0,        30,93.3,       152,99.3,,,,,,,84.0,89.3,78,89.7,19,84.2,150.0,89.3,5.0,,2.0,,4.0,,     796,18.4,"      2,243",49.4,50.6,0.5,17.8,6.6,"     $13,688,426","  $84,444",    162
139,Ma Academy for Math and Science,4680000,        47,100.0,0.0,0.0,0.0,0.0,0.0,48,43.0,89.6,0.0,72.1,0.0,27.9,0.0,0.0,16.3,        24,100.0,        23,100.0,,,        23,100.0,        20,100.0,,,,,25.0,88.0,23,91.3,2,,24.0,87.5,20.0,90.0,2.0,,1.0,,      21,16.3,         49,40.8,59.2,0.0,0.0,6.1,,,
140,Malden,1650000,       467,82.9,9.0,1.5,1.5,5.1,0.0,418,315.0,75.4,0.0,25.1,29.5,45.4,28.6,9.8,31.7,       235,80.0,       232,85.8,       317,83.0,       135,85.2,       123,88.6,        84,76.2,       109,78.9,204.0,69.1,214,81.3,181,73.5,122.0,72.1,115.0,87.0,74.0,62.2,93.0,76.3,"   2,688",20.7,"      6,724",48.9,51.1,19.9,15.3,43.6,"     $38,223,586","  $83,403",    458
141,Manchester Essex Regional,6980000,       115,97.4,0.9,0.0,0.0,0.9,0.9,114,102.0,89.5,0.0,52.9,5.9,41.2,5.9,8.8,12.7,        61,95.1,        54,100.0,        15,100.0,       115,97.4,,,,,,,60.0,86.7,54,92.6,11,,114.0,89.5,,,,,,,     620,17.4,"      1,450",50.2,49.8,0.7,11.1,7.9,"      $9,804,516","  $76,658",    128
142,Mansfield,1670000,       316,97.5,1.3,0.3,0.0,0.9,0.0,309,271.0,87.7,0.0,45.4,12.2,42.4,12.2,15.1,10.0,       158,95.6,       158,99.4,        56,89.3,       280,97.5,        16,100.0,         7,100.0,         7,100.0,152.0,83.6,157,91.7,41,78.0,274.0,88.0,16.0,93.8,7.0,,7.0,,"   1,636",17.0,"      4,066",48.0,52.0,1.2,13.5,11.3,"     $24,042,330","  $80,248",    300
143,Marblehead,1680000,       265,95.5,2.6,0.0,0.8,1.1,0.0,255,224.0,87.8,0.0,50.4,3.6,46.0,3.6,8.5,9.4,       123,94.3,       142,96.5,        45,86.7,       244,95.1,,,         9,100.0,         7,100.0,117.0,81.2,138,93.5,27,74.1,234.0,88.5,3.0,,9.0,,7.0,,"   1,529",18.2,"      3,219",49.5,50.5,3.9,20.0,8.9,"     $18,880,122","  $72,199",    262
144,Marlborough,1700000,       254,85.0,9.1,2.4,0.0,3.5,0.0,230,164.0,71.3,0.6,33.5,23.8,42.1,22.6,11.6,14.6,       130,79.2,       124,91.1,       118,78.8,       155,88.4,        13,76.9,        74,81.1,         9,66.7,114.0,69.3,116,73.3,76,53.9,145.0,80.0,10.0,,66.0,48.5,6.0,,"   2,265",17.6,"      4,689",48.3,51.7,17.7,16.9,30.8,"     $28,978,734","  $78,940",    367
145,Marshfield,1710000,       313,95.8,2.5,0.3,0.3,1.0,0.0,302,250.0,82.8,0.4,39.6,16.0,44.0,15.6,15.2,12.0,       160,93.8,       153,98.0,        73,86.3,       302,96.0,,,,,,,151.0,81.5,151,84.1,44,70.5,292.0,82.5,2.0,,5.0,,1.0,,"   1,509",18.7,"      4,302",48.9,51.1,1.0,15.8,11.0,"     $23,232,987","  $71,092",    327
146,Martha's Vineyard,7000000,       173,90.2,5.8,0.6,0.6,2.9,0.0,157,109.0,69.4,0.0,45.9,15.6,38.5,11.9,14.7,6.4,        88,89.8,        85,90.6,        70,85.7,       129,92.2,,,        23,82.6,,,82.0,61.0,75,78.7,51,45.1,120.0,70.0,2.0,,19.0,73.7,4.0,,     741,12.0,        660,47.4,52.6,4.8,17.1,19.8,"      $7,145,843","  $91,262",     78
147,Martha's Vineyard Charter (District),4660000,         7,100.0,0.0,0.0,0.0,0.0,0.0,7,,,,,,,,,,,,,,,,         6,100.0,,,,,,,5.0,,2,,3,,6.0,,,,,,1.0,,      68,17.5,        184,56.0,44.0,7.6,24.5,23.4,,,
148,Masconomet,7050000,       368,96.5,2.2,0.0,0.5,0.8,0.0,360,328.0,91.1,0.3,43.9,11.6,44.2,10.4,3.7,13.7,       192,95.8,       176,97.2,        33,93.9,       351,96.6,,,         7,85.7,,,186.0,89.8,174,92.5,26,88.5,344.0,90.7,4.0,,6.0,,3.0,,     931,17.4,"      1,926",50.3,49.7,0.5,14.2,5.3,"     $12,258,052","  $86,350",    142
149,Mashpee,1720000,       104,88.5,6.7,0.0,0.0,4.8,0.0,95,76.0,80.0,0.0,32.9,28.9,38.2,27.6,15.8,13.2,        46,82.6,        58,93.1,        42,85.7,        80,88.8,,,         7,100.0,,,40.0,70.0,55,87.3,27,85.2,73.0,80.8,2.0,,7.0,,1.0,,"   1,046",15.8,"      1,664",48.8,51.2,2.6,17.8,28.1,"     $10,355,630","  $78,810",    131
150,Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,        45,40.0,24.4,0.0,6.7,28.9,0.0,30,19.0,63.3,0.0,21.1,68.4,10.5,63.2,10.5,0.0,        17,35.3,        28,42.9,        26,30.8,        35,42.9,,,         6,33.3,,,10.0,,20,75.0,10,,26.0,65.4,,,3.0,,,,     116,25.2,        637,54.3,45.7,0.9,17.6,44.6,,,
151,MATCH Charter Public School (District),4690000,        61,63.9,32.8,0.0,0.0,3.3,0.0,53,43.0,81.1,0.0,39.5,16.3,44.2,16.3,16.3,27.9,        24,50.0,        37,73.0,        50,68.0,,,,,        20,85.0,        37,59.5,19.0,73.7,34,85.3,26,69.2,,,,,20.0,75.0,33.0,84.8,     206,26.5,"      1,032",51.8,48.2,33.8,19.8,53.3,,,
152,Maynard,1740000,        86,86.0,4.7,3.5,1.2,3.5,1.2,78,59.0,75.6,0.0,37.3,11.9,50.8,11.9,18.6,11.9,        50,82.0,        36,91.7,        22,63.6,        70,84.3,         6,100.0,         9,88.9,,,45.0,73.3,33,78.8,13,,62.0,82.3,6.0,,8.0,,2.0,,     638,17.9,"      1,470",48.8,51.2,3.7,17.9,16.5,"      $7,618,758","  $73,398",    104
153,Medfield,1750000,       235,98.3,0.9,0.0,0.0,0.9,0.0,233,218.0,93.6,0.0,61.9,0.5,37.6,0.5,6.4,10.6,       116,97.4,       119,99.2,        12,100.0,       215,98.1,        11,100.0,         6,100.0,,,115.0,90.4,118,96.6,9,,212.0,93.9,11.0,,6.0,,1.0,,"   1,372",17.8,"      2,641",49.1,50.9,1.3,10.5,3.6,"     $15,917,161","  $81,710",    195
154,Medford,1760000,       372,80.4,11.8,1.1,2.4,4.3,0.0,305,232.0,76.1,0.0,31.0,28.0,40.9,27.2,9.5,24.6,       197,74.1,       175,87.4,       183,75.4,       217,82.9,        35,82.9,        44,86.4,        64,68.8,150.0,64.0,155,87.7,97,69.1,182.0,72.5,30.0,90.0,39.0,69.2,46.0,87.0,,,,,,,,,"     $30,006,748","  $76,179",    394
155,Medway,1770000,       214,95.3,3.3,0.0,0.5,0.9,0.0,205,182.0,88.8,0.0,47.3,7.7,45.1,7.7,8.8,13.7,       102,93.1,       112,97.3,        23,87.0,       194,95.4,         8,100.0,         8,87.5,,,96.0,85.4,109,91.7,16,75.0,186.0,89.2,8.0,,7.0,,1.0,,     997,18.7,"      2,376",50.0,50.0,0.8,14.5,7.7,"     $12,615,074","  $85,410",    148
156,Melrose,1780000,       245,94.7,3.3,0.0,0.0,2.0,0.0,238,204.0,85.7,0.0,41.2,9.3,49.5,9.3,12.7,21.6,       122,95.1,       123,94.3,        68,88.2,       197,95.9,        11,90.9,         7,85.7,        22,95.5,119.0,82.4,119,89.1,42,83.3,193.0,85.5,11.0,,6.0,,21.0,90.5,"   1,590",20.1,"      3,767",50.3,49.7,3.7,14.9,10.9,"     $16,573,142","  $63,645",    260
157,Mendon-Upton,7100000,       168,93.5,3.6,1.2,0.0,1.8,0.0,158,140.0,88.6,0.0,44.3,10.0,45.7,10.0,15.0,17.1,        84,94.0,        84,92.9,        41,82.9,       159,93.7,,,,,,,80.0,82.5,78,94.9,24,83.3,150.0,88.7,,,4.0,,2.0,,     951,17.7,"      2,293",49.7,50.3,1.3,15.1,8.2,"     $12,820,983","  $78,705",    163
158,Methuen,1810000,       491,86.6,4.3,2.4,1.0,5.7,0.0,433,308.0,71.1,0.0,27.6,45.5,26.9,44.2,9.7,13.6,       277,86.3,       214,86.9,       273,79.9,       294,91.8,        21,95.2,       144,75.7,        19,89.5,243.0,62.6,190,82.1,157,61.1,274.0,72.6,20.0,90.0,113.0,66.4,17.0,64.7,"   2,498",19.4,"      7,042",47.4,52.6,8.2,15.4,31.3,"     $38,207,107","  $79,565",    480
159,Middleborough,1820000,       227,93.0,1.8,0.4,0.0,4.8,0.0,213,169.0,79.3,0.0,25.4,34.9,39.6,34.9,23.7,8.9,       105,88.6,       122,96.7,        87,87.4,       207,94.2,,,         8,62.5,,,94.0,69.1,119,87.4,53,62.3,196.0,79.6,2.0,,6.0,,4.0,,"   1,640",19.0,"      3,001",49.4,50.6,0.6,16.4,24.8,"     $16,026,345","  $71,133",    225
160,Milford,1850000,       274,83.9,5.1,0.7,0.7,9.5,0.0,235,186.0,79.1,0.5,36.0,9.7,53.8,8.6,23.1,14.5,       148,79.1,       126,89.7,       100,65.0,       215,89.8,,,        41,56.1,        11,63.6,121.0,76.0,114,82.5,54,63.0,196.0,82.1,4.0,,23.0,56.5,7.0,,"   1,906",17.6,"      4,188",47.8,52.2,10.5,15.2,30.3,"     $24,470,281","  $74,924",    327
161,Millbury,1860000,       104,96.2,2.9,0.0,1.0,0.0,0.0,101,70.0,69.3,0.0,34.3,27.1,38.6,24.3,30.0,5.7,        71,95.8,        33,97.0,        39,92.3,        95,96.8,,,,,,,69.0,60.9,32,87.5,21,61.9,93.0,68.8,,,5.0,,3.0,,     743,18.6,"      1,750",48.1,51.9,4.0,17.4,22.7,"     $10,042,553","  $75,339",    133
162,Millis,1870000,       100,93.0,2.0,0.0,1.0,4.0,0.0,96,83.0,86.5,0.0,38.6,19.3,42.2,18.1,12.0,13.3,        50,94.0,        50,92.0,        28,82.1,        91,92.3,,,,,,,49.0,83.7,47,89.4,14,,86.0,87.2,2.0,,3.0,,2.0,,     592,17.7,"      1,372",48.0,52.0,0.4,10.8,9.8,"      $7,432,012","  $74,694",    100
163,Milton,1890000,       237,94.5,4.6,0.0,0.4,0.4,0.0,231,205.0,88.7,0.0,46.8,12.7,40.5,12.2,6.8,18.0,       112,92.0,       125,96.8,        54,87.0,       153,96.7,        12,91.7,         8,75.0,        56,91.1,108.0,84.3,123,92.7,32,87.5,154.0,87.7,11.0,,6.0,,51.0,88.2,"   1,385",18.9,"      4,114",48.8,51.2,1.6,14.7,9.5,"     $23,608,214","  $81,164",    291
164,Minuteman Regional Vocational Technical,8300000,       158,88.0,9.5,0.0,0.6,1.9,0.0,150,88.0,58.7,0.0,31.8,35.2,33.0,35.2,11.4,8.0,       112,86.6,        46,91.3,        52,90.4,       127,89.0,,,        17,82.4,         6,83.3,106.0,53.8,44,70.5,40,52.5,124.0,55.6,2.0,,14.0,,5.0,,     438,12.0,        615,31.9,68.1,0.5,48.3,23.1,"      $6,647,808","  $87,471",     76
165,Mohawk Trail,7170000,        83,81.9,6.0,0.0,4.8,7.2,0.0,71,59.0,83.1,0.0,40.7,45.8,13.6,45.8,1.7,6.8,        44,81.8,        39,82.1,        32,75.0,        75,84.0,,,,,,,39.0,71.8,32,96.9,22,68.2,64.0,84.4,2.0,,3.0,,1.0,,     460,14.0,"      1,026",49.8,50.2,0.2,22.1,31.8,"      $5,399,287","  $78,047",     69
166,Monomoy Regional School District,7120000,       118,86.4,5.9,0.0,0.8,6.8,0.0,109,86.0,78.9,1.2,37.2,27.9,33.7,26.7,9.3,10.5,        60,80.0,        58,93.1,        48,75.0,        93,88.2,,,,,        13,84.6,54.0,74.1,55,83.6,34,70.6,87.0,80.5,1.0,,5.0,,11.0,,"   1,215",15.4,"      1,948",50.7,49.3,3.9,16.7,23.7,"     $12,167,568","  $71,574",    170
167,Monson,1910000,        92,95.7,2.2,0.0,0.0,2.2,0.0,90,73.0,81.1,0.0,32.9,37.0,30.1,37.0,11.0,15.1,        39,97.4,        53,94.3,        19,94.7,        85,95.3,,,         6,100.0,,,38.0,76.3,52,84.6,15,86.7,83.0,81.9,1.0,,6.0,,,,     570,16.8,"      1,049",50.9,49.1,0.3,13.4,20.0,"      $5,086,821","  $59,704",     85
168,Montachusett Regional Vocational Technical,8320000,       345,98.6,1.2,0.0,0.0,0.3,0.0,343,202.0,58.9,0.0,17.8,50.0,32.2,49.5,25.7,3.5,       179,97.8,       166,99.4,       126,98.4,       275,98.2,,,        47,100.0,         6,100.0,177.0,44.6,166,74.1,72,58.3,273.0,59.3,3.0,,47.0,48.9,6.0,,     639,18.7,"      1,419",45.2,54.8,0.3,14.1,18.4,"      $8,755,757","  $77,485",    113
169,Mount Greylock,7150000,        81,92.6,3.7,0.0,2.5,1.2,0.0,78,60.0,76.9,0.0,63.3,16.7,20.0,16.7,6.7,3.3,        43,88.4,        38,97.4,        15,93.3,        75,93.3,,,,,,,41.0,70.7,37,83.8,13,,72.0,76.4,2.0,,2.0,,,,     334,13.3,        552,48.7,51.3,0.0,14.3,16.8,"      $3,632,181","  $79,132",     46
170,Mystic Valley Regional Charter (District),4700000,       104,99.0,0.0,0.0,0.0,1.0,0.0,103,99.0,96.1,1.0,51.5,8.1,39.4,8.1,8.1,24.2,        46,97.8,        58,100.0,        30,96.7,        65,100.0,        14,100.0,,,        19,94.7,45.0,95.6,58,96.6,20,100.0,65.0,95.4,14.0,,2.0,,18.0,100.0,     775,22.7,"      1,491",52.4,47.6,1.7,13.4,16.3,,,
171,Nantucket,1970000,       128,82.0,11.7,1.6,0.0,4.7,0.0,112,84.0,75.0,0.0,64.3,1.2,34.5,1.2,8.3,10.7,        56,75.0,        72,87.5,        34,73.5,        81,96.3,,,        24,33.3,        19,78.9,48.0,64.6,64,82.8,23,56.5,81.0,77.8,2.0,,11.0,,16.0,75.0,     878,17.0,"      1,594",48.6,51.4,16.6,13.1,18.6,"     $11,910,218","  $87,769",    136
172,Narragansett,7200000,       100,84.0,6.0,3.0,1.0,6.0,0.0,87,62.0,71.3,0.0,21.0,48.4,30.6,45.2,22.6,4.8,        53,77.4,        47,91.5,        47,70.2,        90,86.7,,,,,,,42.0,57.1,45,84.4,28,50.0,80.0,71.3,,,2.0,,2.0,,     635,17.1,"      1,371",47.4,52.6,0.0,17.3,23.7,"      $6,855,710","  $67,811",    101
173,Nashoba,7250000,       276,94.2,1.1,0.4,1.1,3.3,0.0,262,238.0,90.8,0.0,37.4,13.0,49.6,11.8,10.1,13.9,       140,94.3,       136,94.1,        35,77.1,       250,95.2,         8,87.5,         8,75.0,,,133.0,91.0,129,90.7,21,81.0,240.0,90.8,7.0,,6.0,,2.0,,"   1,472",17.8,"      3,439",49.5,50.5,1.2,14.9,6.0,"     $19,363,614","  $72,946",    265
174,Nashoba Valley Regional Vocational Technical,8520000,       156,96.8,1.3,0.0,0.0,1.9,0.0,151,79.0,52.3,0.0,24.1,49.4,26.6,45.6,15.2,7.6,        98,98.0,        58,94.8,        53,92.5,       144,97.2,,,,,,,96.0,40.6,55,72.7,33,48.5,140.0,52.1,1.0,,5.0,,,,     347,15.6,        706,40.1,59.9,0.0,34.3,17.6,"      $4,140,062","  $71,504",     58
175,Natick,1980000,       383,97.9,1.6,0.3,0.3,0.0,0.0,378,330.0,87.3,0.3,45.2,11.2,43.3,10.6,7.3,16.1,       190,97.4,       193,98.4,        56,92.9,       311,98.1,        30,100.0,        13,100.0,         9,77.8,188.0,85.6,190,88.9,40,77.5,307.0,87.9,30.0,86.7,13.0,,7.0,,"   2,445",19.4,"      5,458",49.4,50.6,2.1,14.8,9.3,"     $26,781,708","  $70,293",    381
176,Nauset,6600000,       255,92.2,6.3,0.8,0.0,0.8,0.0,243,183.0,75.3,0.0,40.4,27.3,32.2,26.2,8.7,7.1,       132,87.1,       123,97.6,        96,84.4,       220,92.7,        12,100.0,,,        13,76.9,119.0,72.3,124,78.2,70,61.4,211.0,77.3,12.0,,5.0,,11.0,,"   1,003",15.0,"      1,506",51.6,48.4,1.9,13.8,18.8,"     $11,202,181","  $83,041",    135
